Week	Date	Player	Class	Spec	Role	Main/Alt	Item
7	March 31	Keefy	Paladin	Retribution	Physical DPS	Main	Leggings of the Fallen Champion
7	March 31	Sergo	Priest	Shadow	Caster DPS	Main	Soul-Eater's Handwraps
7	March 31	Elektro	Rogue	Combat	Physical DPS	Main	Chestguard of the Fallen Champion
7	March 31	Atraeha	Shaman	Restoration	Healer	Main	Pauldrons of the Fallen Champion
7	March 31	Case	Shaman	Enhancement	Physical DPS	Main	Chestguard of the Fallen Champion
7	March 31	Elektro	Shaman	Elemental	Caster DPS	Main	Windshear Boots
7	March 31	Gono	Shaman	Enhancement	Physical DPS	Alt	Chestguard of the Fallen Champion
7	March 31	Gono	Shaman	Enhancement	Physical DPS	Alt	Leggings of the Fallen Champion
7	March 31	Gono	Shaman	Enhancement	Physical DPS	Alt	Terror Pit Girdle
7	March 31	Sleepyrat	Shaman	Enhancement	Physical DPS	Alt	Pauldrons of the Fallen Champion
7	March 31	Yaske	Warlock	Affliction	Caster DPS	Main	Eredar Wand of Obliteration
8	April 7	Bugatti	Druid	Feral (Bear)	Tank	Alt	Cloak of the Pit Stalker
8	April 7	Capriciousxo	Druid	Balance	Caster DPS	Main	Pauldrons of the Fallen Defender
8	April 7	Lebearjames	Druid	Feral (Bear)	Tank	Main	Pauldrons of the Fallen Defender
8	April 7	Massesto	Druid	Feral (Bear)	Tank	Alt	Pauldrons of the Fallen Defender
8	April 7	Cash	Hunter	Beast Mastery	Physical DPS	Alt	Magtheridon's Head
8	April 7	Glzy	Hunter	Beast Mastery	Physical DPS	Main	Magtheridon's Head
8	April 7	Bored	Mage	Frost	Caster DPS	Alt	Chestguard of the Fallen Hero
8	April 7	Kalihiwai	Paladin	Holy	Healer	Main	Gauntlets of the Dragonslayer
8	April 7	Sleepyrat	Paladin	Holy	Healer	Main	Chestguard of the Fallen Champion
8	April 7	Sleepyrat	Paladin	Holy	Healer	Main	Eye of Magtheridon
8	April 7	Skryt	Shaman	Restoration	Healer	Alt	Teeth of Gruul
8	April 7	Tombradygoat	Shaman	Restoration	Healer	Main	Magtheridon's Head
8	April 7	Doge	Warlock	Affliction	Caster DPS	Main	Bloodmaw Magus-Blade
8	April 7	Massesto	Warlock	Affliction	Caster DPS	Alt	Karaborian Talisman
8	April 7	Sablewright	Warlock	Affliction	Caster DPS	Main	Chestguard of the Fallen Hero
8	April 7	Sweetmeat	Warlock	Affliction	Caster DPS	Main	Leggings of the Fallen Hero
8	April 7	Xenodank	Warlock	Affliction	Caster DPS	Main	Chestguard of the Fallen Hero
8	April 7	Corr	Warrior	Fury	Physical DPS	Main	Girdle of the Endless Pit
8	April 7	Daladed	Warrior	Fury	Physical DPS	Main	Girdle of the Endless Pit
8	April 7	DIsrespect	Warrior	Fury	Physical DPS	Main	Leggings of the Fallen Defender
